compound,solvent,lambda_max,source
CCN1CCc2cc3c(cc21)C(C)(C)c1cc2c(cc1=C3)CCC[N+]=2CC,CCO,629.0,fluodb
N#CC(C#N)=Cc1ccc(-c2cccc(-c3nc4ccccc4s3)c2O)o1,ClCCl,428.0,fluodb
CC(C)n1nc(CCc2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,O,341.0,fluodb
CCN(CC)c1ccc2cc(/C=C/C(=O)c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,ClC(Cl)Cl,488.0,fluodb
COC(=O)c1cc(=O)n(C)c2cc(-c3ccccc3OC)sc12,CC#N,396.0,fluodb
CC1=C2C=C(c3ccc(C(C)(C)C)cc3)C=[N+]2[B-](F)(F)n2c(C)cc(C)c21,ClC(Cl)Cl,526.0,fluodb
C[n+]1c2c(c(-c3ccccc3)c3c1CCCC3)CCCC2,CCO,340.0,fluodb
Cc1cc(-c2ccc(N(C)C)cc2)n2c1N=c1c(C)cc(=C3C=CC(=[N+](C)C)C=C3)n1[B-]2(F)F,CS(C)=O,774.0,fluodb
CCC1=C(C)C2=C(c3ccc(O)c(O)c3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CS(C)=O,528.0,fluodb
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,CS(C)=O,519.0,fluodb
CCCCC1=C(CCCC)c2ccccc2B2Nc3ccccc3C=C21,ClCCl,386.0,fluodb
CCN(CC)c1ccc(/N=N/c2nc3ccc(Br)cc3s2)cc1,ClCCl,518.0,fluodb
CCC1=C(C)C2=Cc3cc(I)c(I)n3[B-](F)(F)[N+]2=C1C,OCC(F)(F)F,520.0,fluodb
O=P1(c2ccccc2)C2=CC(=[N+]3CCC3)C=CC2=C(c2ccccc2C(F)(F)F)c2ccc(N3CCC3)cc21,O,710.0,fluodb
Cc1ccc2c(c1)c(C#N)c(C#N)c1cc(C)ccc12,ClC(Cl)Cl,343.0,fluodb
CC(C)(C)c1ccc(Oc2cc3c4c(cc(Oc5ccc(C(C)(C)C)cc5)c5c6ccc(C#Cc7cc(C(=O)O)nc(C(=O)O)c7)c7cccc(c2c45)c76)C(=O)N(c2cc(C(C)(C)C)ccc2C(C)(C)C)C3=O)cc1,CN(C)C=O,536.0,fluodb
N#CC(=Cc1ccc(C#Cc2ccc3c4c(cccc24)-c2c-3c(-c3ccccc3)c3ccccc3c2-c2ccccc2)cc1)C(=O)O,ClCCl,433.0,fluodb
CCN1C(=CC=CC=C2C=CC(=[N+](C)C)C=C2)Sc2ccccc21,ClCCl,620.0,fluodb
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(C)=O,498.0,fluodb
CCCCC(CC)COc1cc2c(cc1OCC(CC)CCCC)c1sc(-c3ccc4c(c3)c3ccccc3n4CCCC)cc1c1cc(C=C(C#N)C(=O)O)sc12,C1CCOC1,491.0,fluodb
CCOC(=O)C1=C(c2ccc3ccccc3c2)NC(=O)C1=NNc1ccccc1O,C1CCOC1,466.0,fluodb
COc1ccc(/C=C/c2cc3n(c2)[B-](F)(F)[N+]2=CC=CC2=C3c2c(C)cc(C)cc2C)cc1,CC#N,574.0,fluodb
N#C/C(=C\c1ccc(-c2cc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)s1)C(=O)O,C1CCOC1,465.0,fluodb
CC1(C)CCc2c(c3ccccc3c3nc4ccccc4nc23)O1,CO,435.0,fluodb
c1csc(C2=S=C(c3cccc4ccccc34)c3cc4ccccc4cc32)c1,ClCCl,580.0,fluodb
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C=C(C#N)C#N)cc2)cc1,Cc1ccccc1,348.0,fluodb
CN1CC2CCCN2c2cc3[o+]c4c5c6c(cc4c(-c4ccccc4C(=O)O)c3cc21)CCCN6CCC5,O,586.0,fluodb
CN(C)c1ccc(-c2ccc(-c3cc(N4CCCCC4)c(C#N)c4c3-c3ccccc3CC4)s2)cc1,ClC(Cl)Cl,377.0,fluodb
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(-c3ccccc3)c3ccccc3n1[B-]2(F)F,ClCCl,512.0,fluodb
CC[N+]1=C(/C=C/c2cc3cc(C(C)(C)C)cc4ccc5cc(C(C)(C)C)cc2c5c43)C(C)(C)c2ccccc21,CC#N,492.0,fluodb
CC1=C2C=CC(c3ccccc3)=[N+]2[B-](F)(F)n2c(Cl)ccc21,C1CCOC1,526.0,fluodb
CCCCC(CC)Cn1c2ccccc2c2c(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)cc3)c3c(c(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)c21)c1ccccc1n3CC(CC)CCCC,CN(C)C=O,473.0,fluodb
Oc1c(-c2cccs2)cccc1-c1nc2ccccc2s1,O,346.0,fluodb
CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,CCCCCC,345.0,fluodb
O=c1ccc2cc3c(cc2o1)OCC3,CO,333.0,fluodb
Cc1ccc(C2=C3C=CC(=[O+]c4ccccc4Br)N3[B-](F)(F)n3c(Oc4ccccc4Br)ccc32)cc1,C1COCCO1,515.0,fluodb
C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,ClCCl,526.0,fluodb
N#Cc1c(-c2ccccc2F)c(N)n2ccccc12,CN(C)C=O,383.0,fluodb
F[B-]1(F)n2c(-c3ccc(Br)cc3)cc(-c3ccccc3)c2N=c2c(-c3ccccc3)cc(=C3C=CC(=[Br+])C=C3)n21,ClC(Cl)Cl,658.0,fluodb
CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c(c5)Sc5ccccc5N6CCCCCCCC)cc4)c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)cc6)c6nsnc56)cc4)cc3)ccc21,ClCCl,533.0,fluodb
N#C/C(=C\c1ccc(-c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2-c2ccc(/C=C(\C#N)C(=O)O)s2)s1)C(=O)O,C1CCOC1,472.0,fluodb
CCC1=C(C)C2=Cc3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCCCCC,531.0,fluodb
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC=[N+]21,C1CCCCC1,496.0,fluodb
Cc1ccc([O-])c(C(=O)O)c1,O,305.0,fluodb
CC[N+]1=C(/C=C/c2cc3cccc4ccc5cccc2c5c43)C(C)(C)c2ccccc21,O,476.0,fluodb
COc1ccc(NC2=[N+]3C(=C(c4c(C)cc(C)cc4C)c4cc(Br)c(Oc5ccc(OC)cc5)n4[B-]3(F)F)C=C2Br)cc1,Cc1ccccc1,619.0,fluodb
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CCOC(C)=O,372.0,fluodb
O=C1/C(=C\c2ccc3oc4ccccc4c3c2)S(=O)(=O)c2ccccc21,CC(C)=O,365.0,fluodb
CCN(CCCS(=O)(=O)[O-])c1ccc2c(C(C)(C)C)cc(/C=C/C=C/C=C3/N(CCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)[O-])[o+]c2c1,CCO,785.0,fluodb
CCN(CC)c1ccc(/C=C/C2=c3c(=O)oc4cc(N(CC)CC)ccc4c3=[O+][B-](F)(F)O2)cc1,Cc1ccccc1,567.0,fluodb
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4cc5c6nc(CCCCC)c(CCCCC)nc6c6cc(/C=C(\C#N)C(=O)O)sc6c5s4)c4nsnc34)cc2)cc1,ClC(Cl)Cl,529.0,fluodb
Nc1ccc2cc(-c3ccc(C(F)(F)F)cc3)oc(=O)c2c1,CCCCCC,335.0,fluodb
CC1=C2C=CC=[N+]2[B-](F)(F)n2c(NCc3ccccc3)ccc21,CC(C)=O,465.0,fluodb
CN(C)c1ccc(-c2nc3ccncc3[nH]2)cc1,CCO,340.0,fluodb
CCOC(=O)c1[nH]c(C)c(/C=C/C2=[N+]3C(=C(c4cc(OC)cc(OC)c4)c4c(C)c(I)c(/C=C/c5c(C)[nH]c(C(=O)OCC)c5C)n4[B-]3(F)F)C(C)=C2I)c1C,CS(C)=O,693.0,fluodb
Cc1c(C)c2cc3cc4ccccc4cc3n2c2nc3cc4ccccc4cc3cc12,ClCCl,517.0,fluodb
CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c(c5)Sc5ccccc5N6CCCCCCCC)cc4)c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)cc6)c6nsnc56)cc4)cc3)ccc21,CCOC(C)=O,519.0,fluodb
COc1ccc2ccccc2c1C1=CC(c2ccccc2)=C(c2ccccc2)C1,ClCCl,340.0,fluodb
N#C/C(=C\c1ccc(-c2ccc(C#Cc3ccc(N4c5ccccc5C=Cc5ccccc54)cc3)c3nsnc23)s1)C(=O)O,ClCCl,474.0,fluodb
Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,C1CCOC1,590.0,fluodb
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3ccc4c(c3)Sc3cc(-c5ccc6c(c5)C(CCCCCCCC)(CCCCCCCC)c5ccccc5-6)ccc3N4c3ccc4c(c3)sc3c5ccc(-c6cc(C)c(C=C(C#N)C(=O)O)s6)cc5sc43)cc21,ClC(Cl)Cl,420.0,fluodb
COc1ccccc1/C=c1\o/c(=C\c2ccc(N(C)C)cc2)c2ccccc12,ClCCl,406.0,fluodb
COc1ccc2c(=O)c3c([nH]c2c1)-c1cc(Cl)ccc1NC3(C)C,CN(C)C=O,425.0,fluodb
Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4nc2C=C4)C=C3)cc1,Cc1ccccc1,420.0,fluodb
CN(CCO)c1ccc(/C=C/C(=O)c2ccc(N=C(O)c3ccc(Br)cc3)cc2)cc1,CS(C)=O,431.0,fluodb
COc1ccc(C(C#N)=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,C1CCCCC1,402.0,fluodb
CN(CCO)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3cnccn3)cc2)cc1,CS(C)=O,431.0,fluodb
CCC1=C(C)C2=C(c3ccc(CCCOC(C)=O)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCO,522.4,fluodb
COC(=O)C(N=C(O)OC(C)(C)C)c1ccc2oc(-c3cc(OC)c(OC)cc3OC)nc2c1,CC1CCCCC1,327.0,fluodb
CCCCCCCCN1C(=Cc2c(OCC)c(=O)c2=O)C(C)(C)c2cc(C(=O)O)ccc21,CCO,428.0,fluodb
CCCCC(CC)Cn1c2cc(C#N)ccc2c2ccc(C#Cc3ccc4ccc5c(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)ccc6ccc3c4c65)cc21,ClCCl,385.0,fluodb
N#Cc1c(-n2nnc3c2-c2ccccc2CN(C(=O)CCN)c2ccccc2-3)n([C@H]2C[C@H](O)[C@@H](CO)O2)c2ncnc(N)c12,CO,290.0,fluodb
CN(C)c1ccc(C=Cc2ccc([N+](=O)[O-])c(O)c2)cc1,C1CCCCC1,462.0,fluodb
CCN(CC)c1nc(-c2ccccc2)c(-c2ccc([N+](=O)[O-])s2)s1,CCCCCC,446.0,fluodb
N#Cc1nnn(-c2ccnc3cc(Cl)ccc23)c1N,CO,387.0,fluodb
CC1(C)C2=CC=CC=CC=CC3=[N+](CCCCCC([O-])=NCCN=C(O)CCCCCN2c2ccc(S(=O)(=O)[O-])cc21)c1ccc(S(=O)(=O)O)cc1C3(C)C,O,750.0,fluodb
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)=C2SCC(=O)O)N(Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,795.0,fluodb
F[B-]1(F)/[N+](=C\c2ccc(-c3cccs3)cc2)[N-]c2cccc[n+]21,CO,472.0,fluodb
CCCCOC1=C2C=C(Cl)C(=[Cl+])N2[B-](F)(F)n2c1cc(Cl)c2Cl,CC#N,474.0,fluodb
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCCCOCCCC,866.0,fluodb
N#CC(C#N)=Cc1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,CCO,346.0,fluodb
N#C/C(=C\C1=S=C(c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccc3-4)s2)C=C1)C(=O)O,C1CCOC1,393.0,fluodb
COC(=O)c1ccc(O)c(-c2nc(O)n3c2-c2ccccc2C3=O)c1,CO,394.0,fluodb
Cc1cc(-c2ccccc2)nc2c1ccc1nc(-c3ccccc3)cn12,CCOC(C)=O,352.0,fluodb
Cc1ccc(N2c3ccc(-c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)c5nccnc45)cc3[C@@H]3CCC[C@@H]32)cc1,ClCCl,481.0,fluodb
CCC1=C(C)C2=C(c3ccc(OCCOCCOCCOC)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C=O,CCO,506.0,fluodb
CCCCn1c2ccc(-c3ccc(-c4ccncc4)s3)cc2c2cc(N(c3ccccc3)c3ccccc3)ccc21,C1CCOC1,395.0,fluodb
Cn1c(C#Cc2ccc(C#N)cc2)cc2ccccc21,C1CCCCC1,357.0,fluodb
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccn3C)nc2c1,CS(C)=O,392.0,fluodb
Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CC(C)=O,421.0,fluodb
CC(=O)c1nc(-c2ccc(C)cc2)oc1C,CCCCCC,272.0,fluodb
CC1(C)CCN2CCC(C)(C)c3c2c1cc1cc(-c2ccc(/C=C/c4ccc(/C=C(/C#N)C(=O)O)s4)s2)c(=O)oc31,CCO,525.0,fluodb
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(/C=C/c3ccc([NH+](C)C)cc3)n1[B-]2(F)F,CC#N,553.0,fluodb
CCN(CCCCCC(=O)O)c1ccc2c(c1)=[O+]C(=O)C(=C1C=CN(CCCS(=O)(=O)[O-])C=C1)C=2,CCO,488.0,fluodb
Cc1ccc2n1[B-](F)(F)[N+]1=CC=CC1=C2c1ccc(O)cc1,Cc1ccccc1,511.0,fluodb
c1ccc(-c2nc(-c3c[nH]c4ccccc34)n3ccccc23)cc1,ClCCl,380.0,fluodb
Cc1cc(C)c(C2=c3cc(Br)c(=c4scc5c4=[O+]CCO5)n3[B-](F)(F)n3c2cc(Br)c3-c2scc3c2OCCO3)c(C)c1,C1CCOC1,610.0,fluodb
Cc1ccc(-c2nc(N3CCOCC3)sc2-c2ccc([N+](=O)[O-])s2)cc1,CS(C)=O,490.0,fluodb
CC1(C)CC(/C=C/c2ccc(N3CCOCCOCCOCCOCC3)cc2)=CC(=C(C#N)C#N)C1,c1ccccc1,500.0,fluodb
COc1ccc(-c2cc(-c3ccc(N(C)C)cc3)n3c2N=c2c(-c4ccc(OC)c(OC)c4)cc(=C4C=CC(=[N+](C)C)C=C4)n2[B-]3(F)F)cc1OC,C1CCOC1,790.0,fluodb
COC(=O)/C=C/C1=CC2=C(c3c(C)cc(C)cc3C)c3cc(/C=C/C(=O)OC)cn3[B-](F)(F)[N+]2=C1,ClCCl,577.0,fluodb
Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(-c4cc5n(c4C)[B-](F)(F)n4c(C)ccc4C5=C4C=CC(=[Br+])C=C4)cc32)c(C)c1,C1CCCCC1,599.0,fluodb
CCOC(=O)/C(C#N)=C(\C=C\c1ccc(N(c2ccccc2)c2ccc(/C=C/C(=C(/C#N)C(=O)OCC)c3ccccc3)cc2)cc1)c1ccccc1,C1COCCO1,474.0,fluodb
CCN(CC)c1ccc(-n2cccc2)cc1,CC#N,280.0,fluodb
N#Cc1cccc(N)c1,CCCCCC,309.0,fluodb
COC(=O)CCC1=C(C)C(=[Cl+])N2C1=C(c1ccccc1)c1c(CCC(=O)OC)c(C)c(Cl)n1[B-]2(F)F,ClCCl,534.0,fluodb
O=Cc1ccc(C2=c3cc4c(n3[B-](F)(F)n3c2cc2c5ccccc5oc23)=[O+]c2ccccc2-4)cc1,CC#N,586.0,fluodb
COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC,C1CCOC1,393.0,fluodb
CCCCCCOc1ccc(-c2ccc(N(c3ccc(-c4ccc(OCCCCCC)cc4OCCCCCC)cc3)c3ccc4c(c3)sc3cc(C5(C=C(C#N)C(=O)O)CC=C(c6cccs6)S5)sc34)cc2)c(OCCCCCC)c1,C1CCOC1,475.0,fluodb
Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,CC#N,496.0,fluodb
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CC#N,392.0,fluodb
CN(C)c1ccc2c3c(ccc2c1)CCCC3=O,C1CCCCC1,397.0,fluodb
O=Cc1ccc(-c2sc(N(c3ccccc3)c3ccccc3)nc2-c2ccccc2)s1,CS(C)=O,416.0,fluodb
CCCCCCCCOc1ccc(C#Cc2ccc3c(c2)c2ccccc2n3CCCCCCCC)c(OCCCCCCCC)c1,ClCCl,319.0,fluodb
COc1ccc(-c2ccc3n2[B-](F)(F)n2c(=C4C=CC(=[O+]C)C=C4)ccc2=C3c2c(Cl)cccc2Cl)cc1,CO,594.0,fluodb
CCC1=C(C)C2=C(c3ccc(C(=O)O)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCCCCC,526.0,fluodb
CC[N+](CC)=C1C=CC2=C(c3c(C)cc(C)cc3C)c3cc(C(C)=O)cn3[B-](F)(F)N21,CCCCCCCCO,452.0,fluodb
CCC1=C(C)C(=O)n2c1cc1c(CCC(=O)OC)c(C)c(C)n1c2=O,c1ccccc1,425.0,fluodb
CCc1cc2c3c4c(cc5c(Oc6c(C)cc(C)cc6C)ccc6c7cc(CC)n8c7c(c4c56)c2n1[B-]8(F)F)C(=[O+]c1c(C)cc(C)cc1C)C=C3,CCCCCC,891.0,fluodb
COCCOCCOCCOc1ccc(OCCOCCOCCOC)c(C=O)c1,CO,348.0,fluodb
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,ClCCl,362.0,fluodb
CC(C)c1cc(C(C)C)c(B2c3cc(-n4c5ccccc5c5ccccc54)ccc3N(c3ccccc3)c3ccc(-n4c5ccccc5c5ccccc54)cc32)c(C(C)C)c1,C1CCCCC1,400.0,fluodb
COc1cccc(C2=C(c3cccc(OC)c3)c3cc(C(C)(C)C)cc4c(-c5cccc(OC)c5)c(-c5cccc(OC)c5)nc(c34)O2)c1,ClCCl,390.0,fluodb
C[O+]=C1C=CC(=c2c3ccccc3c3n2[B-](F)(F)N2C=c4c5ccccc5c(=C5C=CC(=[O+]C)C=C5)n4[B-](F)(F)N2C=3)C=C1,CN(C)C=O,569.0,fluodb
Cc1cccc(C)c1SC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,ClCCl,493.0,fluodb
CC1c2ccccc2-c2cc3[nH]c(-c4c(F)cccc4F)nc3cc21,CS(C)=O,341.0,fluodb
CC1=C(C#Cc2ccc(C)cc2)C(C)=[N+]2C1=C(C)c1c(C)c(C#Cc3ccc(C)cc3)c(C)n1[B-]2(F)F,ClCCl,565.0,fluodb
COc1cc(OC)c(C=CC(=C(C#N)C#N)c2cc3c(OC)cc4ccccc4c3oc2=O)c(OC)c1,CO,477.0,fluodb
[C-]#[N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CS(C)=O,340.0,fluodb
O=S(=O)(O)c1ccc([O-])c2ccccc12,CS(C)=O,325.0,fluodb
CN(C)c1ccc(/C=C/C=C/C2=NC3C(O)=NC(=N)NC3N2[C@H]2C[C@H](O)[C@@H](CO)O2)cc1,C1COCCO1,352.0,fluodb
C#Cc1nc(C=Cc2ccc(OC)cc2)cc(C=Cc2ccc(OC)cc2)n1,ClCCl,364.0,fluodb
Cc1ccc(-c2ccc(/C=C/c3cccs3)cn2)nc1,CC#N,348.0,fluodb
CC1(C)c2ccccc2N(c2ccc(-c3nnc(-c4ccccc4O)o3)cc2)c2ccccc21,Cc1ccccc1,362.0,fluodb
CC1=[N+]2C(=C(C(=N)O)c3ccc(C)n3[B-]2(F)F)C=C1,CC#N,514.0,fluodb
CC1=CC(C)=[N+]2C1=C(C)c1c(C)c(SCc3ccccc3)c(C)n1[B-]2(F)F,CC#N,499.0,fluodb
COc1ccc(-c2nc(=N)[nH]c(C#N)c2C#N)cc1OC,CC#N,359.0,fluodb
Clc1nc(Cl)[nH]c(=Nc2ccc3ccc4cccc5ccc2c3c45)n1,CCCCOCCCC,341.0,fluodb
O=[N+]([O-])c1ccc(C2=S=C(c3ccc(-c4ccc([N+](=O)[O-])cc4)s3)C=C2)cc1,Cc1ccccc1,420.0,fluodb
CCC1=C(C)C2=C(/C=C/c3ccc([N+](=O)[O-])cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClCCl,531.8,fluodb
CC1(C)Nc2ccccc2-c2[nH]c3ccccc3c(=O)c21,CCCO,414.0,fluodb
COc1cc2c3cc(OC)c(OC)cc3c3cc4c(C)cc(=O)oc4cc3c2cc1OC,C1CCOC1,366.0,fluodb
Cc1ccccc1CC1=[N+]2C(=C(c3c(Cl)cccc3Cl)c3ccc(Cc4ccccc4C)n3[B-]2(F)F)C=C1,ClCCl,529.0,fluodb
Oc1ccc(-c2ccco2)cc1-c1nc2ccccc2s1,O,388.0,fluodb
Cc1ccc(C2=c3cc4c(n3[B-](F)(F)n3c2cc2c5ccccc5oc23)=[O+]c2ccccc2-4)cc1,C1CCCCC1,584.0,fluodb
COc1ccc(NC(=O)C(C(=O)Nc2ccc(OC)cc2)C(c2ccccc2O)c2c(C)[nH]c3ccccc23)cc1,CO,258.0,fluodb
N#CC(C#N)=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccccc1)c1ccccc1,ClCCl,403.0,fluodb
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3ccc(O)cc3oc-2c1,O,500.0,fluodb
CCCCCCn1c2c(c3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)nc5O)s4)ccc31)C(CCCCCC)(CCCCCC)c1ccccc1-2,ClCCl,498.0,fluodb
CN(C)c1ccc(/C=C/c2ncnc3ccccc23)cc1,ClCCl,433.0,fluodb
S=P1(c2ccccc2)c2cccc3ccc4ccc1n4c23,ClCCl,407.0,fluodb
COCCOc1ccc(OCCOC)c(C=O)c1,CC(C)(C)O,350.0,fluodb
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,481.0,fluodb
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc3)cc2)cc1,Cc1ccccc1,363.0,fluodb
CCCCN1c2ccc(-c3ccc(C=O)cc3)cc2Oc2cc(-c3ccc(C=O)cc3)ccc21,CC(C)=O,427.0,fluodb
CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,CCCCCCO,647.0,fluodb
OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CCO,212.0,fluodb
CC1=CC2=Nc3nc(C)[n+](C)cc3CN2C=C1,O,392.0,fluodb
CCCCCCc1ccc2c3c(ccc2c1)=[O+][B-](F)(F)N(c1cc(N2C=c4c(ccc5cc(CCCCCC)ccc45)=[O+][B-]2(F)F)cc(N2C=c4c(ccc5cc(CCCCCC)ccc45)=[O+][B-]2(F)F)c1)C=3,CC#N,419.0,fluodb
CCOC(=O)C1=CSC2=NC(=C3C=CC(=[N+](C)C)C=C3)O[B-](F)(F)N12,Cc1ccccc1,406.0,fluodb
F[B-]1(F)n2c(ccc2-c2ccccc2)C(=C2C=CC(=[I+])C=C2)c2ccc(-c3ccccc3)n21,ClC(Cl)Cl,556.5,fluodb
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(N=C(O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,COCCOC,398.0,fluodb
C1=CC=C2C=CC=CC(=C1)C2,ClC(Cl)Cl,660.0,fluodb
CCCCCCCCOc1ccc(-c2ccc(N(c3ccc(-c4cc5c(-c6ccc(CCCCCC)cc6)c6sc(-c7ccc(-c8ccc(C(=O)O)cc8)c8nsnc78)cc6c(-c6ccc(CCCCCC)cc6)c5s4)cc3)c3ccc(-c4ccc(OCCCCCCCC)cc4OCCCCCCCC)cc3)cc2)c(OCCCCCCCC)c1,ClCCl,487.0,fluodb
CCCCCCOc1ccc(-c2ccc3c(c2)Sc2cc(/C=C(/C#N)C(=O)O)ccc2N3CCCCCC)c(OCCCCCC)c1,ClCCl,477.0,fluodb
Cc1cc2[nH]c3ccccc3c2c2[nH]c3ccccc3c12,ClCCl,305.0,fluodb
Nc1ccc(-c2ccc(N)cc2)cc1,CN(C)C=O,299.0,fluodb
CCCCn1c2ccc(/C=C3\SC(=O)N=C3O)cc2c2cc(/C=C3\SC(=O)N=C3O)ccc21,C1CCOC1,388.0,fluodb
CN(C)c1ccc(-c2nc(-c3ccc(C#N)cc3)[nH]c2-c2ccc(N(C)C)cc2)cc1,ClCCl,397.0,fluodb
COc1cc(C(=O)O)cc(OC)c1O,O,260.0,fluodb
CCOCCOCCOCCOc1cc(C2=C3C=CC=[N+]3[B-](F)(F)n3cc(C=O)cc32)cc(OCCOCCOCCOCC)c1OCCOCCOCCOCC,CS(C)=O,499.0,fluodb
O=C(O)CN1C(=O)/C(=C\C=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)SC1=S,CO,476.0,fluodb
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(N(c2ccc(-c3ccc(-c4ccc(N(c5ccc(-n6c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)ccc76)cc5)c5ccc(-n6c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)ccc76)cc5)cc4)s3)cc2)c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2)cc1,ClCCl,396.0,fluodb
CCC1=C(C)C2=C(C)c3c(Cl)cc(Cl)n3[B-](F)(F)[N+]2=C1C,CCO,496.0,fluodb
